fault_severity,location,severity_type,resource_type,log_feature,volume,event_type
0,623,0,2,85,1,8
0,433,1,2,98,11,23
0,20,1,2,139,1,23
0,146,1,2,99,2,22
0,394,0,2,132,1,23
0,621,0,8,48,2,1
0,139,1,2,101,3,22
0,652,0,8,65,1,1
0,475,1,2,101,2,23
0,870,1,8,211,1,5
0,482,1,2,140,31,23
0,136,1,2,144,7,22
0,272,1,2,144,1,23
0,725,0,8,212,4,1
0,108,0,8,211,3,1
0,145,1,2,143,1,23
0,883,1,8,203,2,1
0,898,0,8,213,6,1
0,612,0,8,214,1,1
0,99,0,8,73,4,1
0,749,1,8,202,4,5
0,777,1,8,203,1,1
0,707,0,2,85,1,8
0,141,1,2,99,4,22
0,137,1,2,98,4,23
0,461,1,2,98,1,22
0,90,0,8,73,10,1
0,470,1,2,101,3,23
0,493,1,2,98,3,23
0,342,1,2,98,9,22
0,166,1,2,98,6,22
0,882,0,8,73,12,1
0,95,1,8,199,1,1
0,749,0,8,202,11,1
0,825,1,8,212,3,1
0,692,1,8,65,1,1
0,756,0,8,190,2,1
0,135,1,2,101,1,22
0,451,1,2,145,10,22
0,131,1,2,143,17,22
0,502,0,8,193,1,1
0,30,1,2,98,6,22
0,457,1,2,145,23,23
0,166,1,2,98,1,22
0,749,0,8,64,8,5
0,137,1,2,98,1,23
0,137,1,2,101,5,23
0,655,0,8,199,1,1
0,277,1,2,138,1,22
0,20,1,2,139,6,23
0,146,1,2,98,26,23
0,793,0,8,137,1,11
0,452,1,2,138,1,23
0,482,1,2,101,1,23
0,133,0,8,66,3,1
0,169,0,2,98,4,23
0,246,1,2,143,29,23
0,749,1,8,202,2,5
0,465,1,2,95,3,23
0,435,1,2,143,2,23
0,752,0,8,213,2,1
0,20,1,2,139,3,23
0,456,0,2,85,1,8
0,614,0,8,213,10,5
0,451,1,2,143,3,22
0,135,1,2,98,2,23
0,391,3,2,141,1,23
0,925,1,8,213,9,5
0,139,1,2,143,2,22
0,294,3,2,143,1,23
0,454,1,2,141,6,23
0,845,0,8,189,2,1
0,210,1,2,93,1,22
0,450,1,2,143,43,22
0,59,1,8,203,1,1
0,86,1,8,213,6,5
0,159,1,2,93,9,23
0,503,1,2,143,1,22
0,183,3,2,143,1,23
0,209,1,2,98,3,23
0,126,1,2,143,1,22
0,769,0,6,115,2,1
0,106,1,8,190,1,1
0,137,1,2,144,4,23
0,749,0,8,202,4,1
0,145,1,2,132,2,23
0,18,0,8,211,1,1
0,168,1,2,98,2,22
0,181,0,2,132,1,8
0,841,0,8,8,1,1
0,464,1,2,95,1,23
0,694,0,8,109,8,1
0,403,1,2,99,2,23
0,461,1,2,100,11,23
0,214,1,2,146,1,23
0,453,1,2,138,3,22
0,135,1,2,98,10,23
0,769,0,2,85,1,8
0,244,1,2,98,6,23
0,659,0,8,213,2,5
0,189,1,2,143,5,23
0,457,1,2,94,9,23
0,557,0,8,65,4,1
0,494,1,2,143,13,22
0,361,1,2,138,5,22
0,465,1,2,100,19,23
0,705,1,8,216,1,1
0,924,1,8,203,1,1
0,19,0,8,199,1,1
0,443,3,2,145,1,23
0,254,3,2,143,1,23
0,72,0,8,212,14,1
0,756,1,8,201,11,1
0,280,3,2,143,1,23
0,375,1,2,98,6,23
0,192,1,2,143,1,23
0,531,0,2,85,1,8
0,657,1,8,189,1,1
0,453,0,2,143,6,23
0,744,1,8,189,3,1
0,31,0,8,199,1,1
0,614,1,8,213,6,5
0,456,1,2,143,4,23
0,230,1,2,138,1,22
0,390,0,2,132,1,23
0,662,1,8,64,3,5
0,24,1,8,203,1,1
0,139,1,2,144,8,22
0,433,1,2,143,9,23
0,435,3,2,143,1,23
0,694,0,8,199,1,5
0,354,1,2,145,1,23
0,10,1,2,94,2,23
0,404,3,2,146,1,23
0,102,0,8,72,1,1
0,469,1,2,94,1,22
0,135,1,2,98,1,22
0,653,1,8,189,15,1
0,443,1,2,100,2,23
0,453,1,2,98,10,23
0,139,1,2,144,5,22
0,746,0,8,201,4,1
0,257,1,2,98,18,22
0,135,1,2,145,2,22
0,184,1,2,143,4,22
0,569,1,8,74,10,5
0,850,1,2,143,3,23
0,481,1,2,95,1,23
0,473,1,2,98,2,22
0,19,1,8,213,6,5
0,476,1,2,138,1,22
0,893,1,8,49,1,1
0,756,0,8,63,11,1
0,845,1,8,189,1,1
0,467,1,2,96,22,23
0,146,1,2,98,24,23
0,849,1,8,189,2,1
0,246,1,2,143,22,23
0,60,1,8,211,1,5
0,569,0,8,213,18,1
0,734,0,8,203,5,1
0,139,1,2,98,1,22
0,773,0,8,189,2,1
0,470,1,2,98,3,22
0,659,0,8,213,20,5
0,139,1,2,101,1,23
0,752,1,8,213,4,5
0,354,0,2,132,1,8
0,662,1,8,211,2,5
0,20,1,2,94,3,23
0,321,1,2,144,1,22
0,749,0,8,46,7,1
0,909,1,8,79,2,1
0,244,1,2,98,14,22
0,454,1,2,98,44,22
0,569,1,8,74,5,5
0,244,1,2,95,28,22
0,433,1,2,143,16,22
0,469,1,2,143,7,23
0,107,0,8,189,1,1
0,168,1,2,143,7,22
0,179,0,8,48,3,1
0,927,1,8,189,1,1
0,53,0,8,203,11,1
0,420,1,2,98,5,23
0,596,0,8,199,1,1
0,135,1,2,138,12,23
0,155,0,2,132,1,8
0,557,1,8,203,2,1
0,787,1,8,213,20,5
0,168,1,2,98,4,22
0,399,1,2,98,6,23
0,244,1,2,143,27,22
0,0,0,8,191,1,1
0,850,1,2,143,1,22
0,709,0,8,74,2,1
0,841,1,8,202,3,5
0,659,0,8,74,17,5
0,479,1,2,143,5,22
0,465,3,2,143,1,23
0,508,1,2,98,1,23
0,445,1,2,143,2,23
0,734,0,8,65,14,1
0,626,0,8,49,8,1
0,364,3,2,139,1,23
0,460,1,2,101,1,22
0,280,1,2,99,2,22
0,91,0,8,115,1,3
0,86,1,8,213,8,5
0,686,0,8,64,2,1
0,243,1,2,144,1,23
0,454,1,2,146,4,22
0,244,1,2,98,22,22
0,472,1,2,98,10,22
0,457,1,2,146,2,23
0,433,1,2,143,1,23
0,97,0,8,48,5,1
0,662,1,8,64,2,5
0,887,1,2,144,2,23
0,480,1,2,141,3,22
0,213,1,2,144,1,22
0,301,1,2,144,8,22
0,487,1,2,143,2,23
0,739,1,8,213,10,5
0,662,1,8,202,7,5
0,478,1,2,98,1,23
0,739,0,8,213,11,5
0,746,0,8,63,4,1
0,585,0,8,189,4,1
0,786,1,8,74,2,5
0,43,1,8,203,1,1
0,882,0,8,201,1,1
0,166,1,2,143,2,23
0,302,1,2,93,1,22
0,454,1,2,100,10,22
0,766,1,8,202,4,5
0,728,0,2,105,2,12
0,157,1,2,88,1,23
0,326,0,2,85,1,23
0,137,1,2,143,1,23
0,771,0,8,49,2,1
0,695,0,6,199,2,3
0,457,1,2,101,1,23
0,644,1,8,213,12,5
0,139,1,2,146,1,23
0,701,0,8,190,4,1
0,688,0,2,85,1,8
0,494,1,2,142,2,22
0,453,1,2,143,35,23
0,482,1,2,98,3,22
0,457,1,2,99,1,23
0,264,0,2,85,1,8
0,51,0,8,72,2,1
0,898,0,8,74,4,1
0,766,0,8,202,1,1
0,137,1,2,98,1,22
0,462,1,2,98,8,22
0,65,1,8,199,5,1
0,483,1,2,98,2,22
0,172,1,2,143,6,22
0,480,1,2,145,17,23
0,911,1,8,213,12,5
0,467,1,2,141,26,23
0,18,0,8,202,2,1
0,135,1,2,143,5,22
0,18,1,8,202,1,5
0,326,1,2,144,1,23
0,189,0,2,87,1,23
0,137,1,2,99,6,23
0,893,1,8,73,2,1
0,506,1,2,143,3,23
0,324,3,2,139,1,23
0,38,1,8,199,1,1
0,472,1,2,98,9,22
0,624,0,8,190,1,1
0,242,1,2,144,2,23
0,7,0,8,211,4,5
0,470,1,2,143,22,23
0,43,0,8,65,2,1
0,464,1,2,145,20,23
0,483,1,2,98,2,22
0,832,0,8,9,3,1
0,492,1,2,146,1,23
0,493,1,2,143,1,22
0,246,1,2,143,14,22
0,113,0,8,199,3,1
0,504,1,2,98,6,22
0,666,0,8,50,2,1
0,662,1,8,202,2,5
0,817,0,8,65,6,1
0,494,1,2,143,21,22
0,479,1,2,143,1,23
0,31,0,8,189,5,1
0,402,1,2,101,6,22
0,506,1,2,143,4,22
0,662,1,8,116,1,14
0,557,0,8,203,7,1
0,135,1,2,101,3,23
0,473,1,2,98,4,22
0,493,1,2,98,8,22
0,246,1,2,143,36,22
0,159,1,2,98,3,22
0,882,1,8,73,2,1
0,474,0,8,85,1,1
0,137,1,2,138,2,22
0,64,1,2,148,2,25
0,722,1,8,211,2,5
0,746,1,8,201,2,1
0,375,1,2,143,12,23
0,11,0,8,203,13,1
0,461,1,2,145,3,22
0,644,0,8,74,14,5
0,146,1,2,98,6,23
0,584,0,8,189,1,11
0,612,0,2,85,1,8
0,463,1,2,143,11,23
0,135,1,2,98,2,23
0,439,1,2,99,28,23
0,464,1,2,94,1,22
0,551,0,8,215,1,1
0,893,0,8,49,2,1
0,735,0,8,183,1,4
0,478,1,2,140,1,22
0,734,0,8,65,12,1
0,817,0,8,203,3,1
0,481,1,2,145,10,22
0,756,1,8,63,2,1
0,473,1,2,98,12,23
0,579,0,8,74,9,1
0,189,3,2,143,1,23
0,52,1,8,211,2,5
0,438,1,2,98,2,22
0,777,1,8,203,4,1
0,267,1,2,138,2,23
0,462,1,2,98,8,22
0,850,1,2,138,2,22
0,756,0,8,201,15,1
0,469,1,2,101,2,22
0,139,1,2,143,4,23
0,168,1,2,98,1,23
0,99,0,8,212,16,1
0,495,1,2,143,18,22
0,131,1,2,98,16,22
0,479,1,2,146,9,22
0,246,1,2,143,20,22
0,450,0,2,87,1,9
0,364,1,2,145,1,22
0,566,0,8,202,1,1
0,448,1,2,143,4,23
0,453,1,2,98,2,22
0,686,1,8,211,2,5
0,146,1,2,98,7,22
0,689,0,8,36,4,1
0,504,1,2,98,6,22
0,887,1,2,140,1,22
0,469,1,2,140,3,23
0,759,0,8,45,10,5
0,749,0,8,202,7,5
0,356,3,2,140,1,23
0,832,1,8,65,1,1
0,460,1,2,143,2,23
0,470,1,2,143,7,22
0,189,1,2,99,1,22
0,177,0,2,132,1,22
0,274,1,2,144,1,22
0,504,1,2,144,1,22
0,20,1,2,145,2,23
0,918,1,8,199,1,1
0,148,1,2,143,4,22
0,317,1,2,98,1,22
0,438,1,2,98,3,22
0,662,1,9,116,1,5
0,832,1,8,203,1,1
0,580,1,8,211,1,5
0,157,1,2,138,1,22
0,433,1,2,98,1,23
0,451,1,2,100,4,23
0,924,0,8,65,1,1
0,739,1,8,213,20,5
0,142,0,8,189,1,1
0,131,1,2,98,19,23
0,462,1,2,145,19,23
0,457,1,2,99,2,22
0,166,1,2,98,20,23
0,488,1,2,144,3,22
0,571,1,8,190,2,1
0,383,0,8,190,2,1
0,244,1,2,145,1,23
0,659,0,8,211,3,1
0,659,0,8,66,1,1
0,236,1,2,143,1,22
0,186,1,2,138,3,22
0,652,0,8,65,1,1
0,618,0,8,40,1,1
0,750,0,8,64,3,1
0,766,0,8,68,8,1
0,493,1,2,93,2,23
0,139,1,2,146,1,23
0,246,1,2,98,15,23
0,188,1,2,98,1,23
0,476,1,2,101,2,22
0,9,0,8,203,1,1
0,241,1,2,98,4,22
0,454,1,2,147,3,22
0,434,1,2,143,2,22
0,462,1,2,145,33,22
0,462,1,2,95,9,22
0,769,1,8,189,1,1
0,880,0,8,48,6,1
0,244,1,2,98,12,23
0,107,0,8,48,7,1
0,665,0,8,49,1,1
0,644,1,8,213,2,5
0,470,1,2,143,2,22
0,469,1,2,143,19,23
0,502,1,2,140,7,23
0,678,0,8,218,1,1
0,292,1,2,144,1,22
0,313,1,2,99,3,22
0,739,1,8,213,18,5
0,308,1,2,98,2,22
0,451,1,2,143,3,23
0,898,1,8,213,4,5
0,482,1,2,96,1,23
0,502,1,2,145,34,23
0,139,1,2,101,5,23
0,137,1,2,99,3,23
0,316,0,2,132,1,23
0,470,1,2,98,6,22
0,787,0,8,74,16,1
0,650,0,8,57,1,1
0,137,1,2,138,1,23
0,197,1,8,190,3,1
0,656,0,8,63,3,1
0,786,1,8,213,12,5
0,557,0,8,203,6,1
0,51,1,8,213,14,5
0,267,1,2,98,1,22
0,139,1,2,146,2,22
0,135,1,2,98,1,22
0,595,1,8,190,1,1
0,51,0,8,213,6,5
0,491,1,2,101,3,22
0,54,0,8,195,2,1
0,756,0,8,201,9,1
0,825,0,8,63,1,8
0,483,1,2,144,10,23
0,139,1,2,144,6,23
0,141,1,2,143,1,22
0,498,1,2,143,1,23
0,720,0,8,213,14,1
0,139,1,2,101,1,23
0,734,1,8,203,1,1
0,131,1,2,143,32,22
0,246,1,2,143,22,22
0,26,0,8,61,1,1
0,841,0,8,64,3,5
0,689,1,8,203,1,1
0,233,3,2,143,1,23
0,141,1,2,98,5,22
0,18,0,8,211,4,5
0,557,0,8,203,7,1
0,742,0,8,65,2,1
0,108,0,8,64,2,1
0,137,1,2,98,2,22
0,131,1,2,98,6,23
0,665,0,8,203,1,1
0,137,1,2,101,5,23
0,462,1,2,95,3,23
0,157,1,2,143,1,23
0,472,1,2,145,4,22
0,145,1,2,144,1,22
0,450,1,2,143,43,23
0,244,1,2,100,1,22
0,141,1,2,144,3,22
0,790,1,8,199,1,1
0,30,1,2,101,8,22
0,263,0,2,88,1,23
0,850,1,2,144,1,22
0,777,0,8,65,17,1
0,569,0,8,213,34,1
0,845,1,8,199,1,1
0,139,1,2,143,3,22
0,456,1,2,99,4,23
0,695,0,8,153,4,1
0,662,1,8,155,1,5
0,491,1,2,143,39,22
0,713,0,6,108,1,6
0,860,1,8,213,4,5
0,928,1,8,194,1,1
0,818,0,8,203,1,1
0,117,0,8,190,3,1
0,137,1,2,101,2,23
0,7,0,8,211,6,1
0,817,1,8,65,3,1
0,648,1,8,114,1,10
0,487,1,2,98,1,22
0,439,1,2,99,22,23
0,569,1,8,213,16,5
0,925,1,8,72,1,5
0,451,1,2,100,19,23
0,294,1,2,138,1,22
0,491,1,2,98,50,22
0,246,1,2,143,32,22
0,131,1,2,98,15,22
0,244,1,2,98,3,22
0,303,0,2,132,1,22
0,392,1,2,140,1,23
0,139,1,2,93,1,22
0,464,0,2,80,2,22
0,882,1,8,190,1,1
0,325,0,2,139,1,9
0,756,0,8,201,5,1
0,480,1,2,98,14,22
0,79,0,8,199,4,6
0,483,1,2,146,7,23
0,710,0,8,65,1,1
0,453,1,2,138,1,23
0,451,1,2,141,2,23
0,478,1,2,145,11,22
0,614,0,8,202,2,1
0,463,1,2,93,1,23
0,159,1,2,144,1,22
0,746,0,8,186,1,1
0,469,1,2,143,3,22
0,292,1,2,144,2,23
0,9,0,8,65,1,1
0,469,1,2,146,3,23
0,32,0,8,189,18,1
0,451,1,2,145,9,22
0,457,1,2,143,4,23
0,450,0,2,99,1,8
0,451,1,2,100,21,22
0,131,1,2,143,5,22
0,464,1,2,98,1,22
0,709,1,8,213,12,5
0,754,0,8,30,4,0
0,608,0,8,213,2,1
0,702,0,2,163,1,1
0,614,1,8,74,2,5
0,292,1,2,143,3,23
0,375,1,2,98,3,23
0,459,1,2,99,3,22
0,376,0,2,85,1,23
0,462,1,2,99,24,22
0,464,1,2,145,1,23
0,503,1,2,101,1,22
0,323,1,2,94,1,22
0,372,1,2,138,1,23
0,775,1,8,213,14,5
0,787,1,8,213,6,5
0,467,1,2,96,24,23
0,764,0,8,213,7,5
0,20,1,2,98,4,23
0,467,1,2,139,29,23
0,166,1,2,143,16,23
0,493,1,2,143,35,22
0,473,1,2,143,22,22
0,357,1,2,98,2,23
0,0,0,8,191,3,1
0,864,0,8,48,5,1
0,870,1,8,213,3,5
0,829,0,8,65,2,1
0,752,0,8,202,1,1
0,478,1,2,143,3,22
0,893,0,8,212,4,1
0,108,0,8,202,9,5
0,850,1,2,93,2,23
0,463,1,2,98,3,23
0,312,1,2,101,1,23
0,756,1,8,201,3,1
0,756,1,8,63,1,1
0,405,0,8,39,1,1
0,893,0,8,190,2,1
0,25,0,8,203,19,1
0,614,1,8,213,6,5
0,744,0,8,216,1,1
0,870,0,8,72,2,1
0,793,1,8,199,6,1
0,20,1,2,100,1,22
0,481,1,2,143,15,23
0,139,1,2,138,1,22
0,504,1,2,143,16,22
0,246,1,2,143,18,22
0,746,0,8,63,1,1
0,394,1,2,143,6,23
0,443,1,2,145,1,23
0,108,0,8,202,15,1
0,752,1,8,213,2,5
0,702,0,8,199,1,1
0,255,1,2,98,2,23
0,451,1,2,98,3,23
0,146,1,2,146,2,22
0,9,0,8,203,1,1
0,145,1,2,146,1,22
0,735,0,8,183,2,1
0,372,1,2,98,4,22
0,752,0,8,202,1,1
0,877,0,8,64,1,1
0,6,0,8,57,1,1
0,139,1,2,101,4,23
0,175,1,2,98,2,22
0,443,1,2,95,1,22
0,94,0,8,64,2,1
0,870,1,8,72,1,5
0,142,1,8,207,1,1
0,715,1,8,189,1,1
0,734,1,8,65,3,1
0,664,0,8,203,1,1
0,756,1,8,63,2,1
0,632,0,8,190,13,1
0,140,1,2,101,1,22
0,342,1,2,143,12,22
0,15,0,8,189,1,1
0,888,0,8,78,1,1
0,145,1,2,99,3,22
0,248,1,2,93,1,22
0,734,0,8,65,2,1
0,375,1,2,98,3,22
0,832,0,8,65,2,1
0,184,0,2,132,1,23
0,7,0,8,72,2,1
0,361,1,2,144,1,23
0,464,1,2,100,1,23
0,714,0,8,190,3,1
0,72,0,8,63,1,1
0,487,1,2,101,1,22
0,576,1,8,67,1,1
0,84,0,8,48,6,1
0,760,1,8,189,1,1
0,347,1,2,98,1,23
0,506,0,2,98,4,23
0,569,0,8,213,5,5
0,377,1,2,143,1,22
0,51,0,8,74,7,1
0,108,1,8,64,1,5
0,481,1,2,95,3,22
0,777,0,8,203,3,1
0,764,0,8,64,4,5
0,481,1,2,143,24,23
0,864,0,8,189,1,1
0,787,1,8,213,14,5
0,243,1,2,98,1,23
0,166,1,8,56,1,1
0,82,0,8,45,2,5
0,793,1,8,54,2,1
0,246,1,2,143,26,22
0,247,1,2,98,11,22
0,462,1,2,143,1,22
0,277,0,2,88,1,23
0,134,0,2,132,1,8
0,8,1,8,213,2,5
0,476,1,2,101,1,22
0,754,1,8,186,1,1
0,483,1,2,143,3,23
0,137,1,2,144,7,22
0,662,0,8,202,4,5
0,375,1,2,98,6,22
0,832,0,8,203,6,1
